Site Name,Wetland ID #,Wetland Type,Date,Start Time,Minutes Spent Sampling,Personnel Sampling,Temperature (*C),Dominant Habitat Cover,Tadpoles Present,Other - Tadpoles Present,Plains_Spadefoot,Toad_Tadpoles,Blanchards_Cricket_Frog,Copes_Gray_Treefrog,Boreal_Chorus_Frog,Western_Narrow-mouthed_Toad,Leopard_Frog,American_Bullfrog,Total_Tadpoles,Other Species of Tadpoles and Count,Additional Species Detected?,Notes,Set #,x,y,Palaemonidae,Mosquitofish,Bellastomatidae,Bluegill,Water_scorpion,Odonata,Crayfish,Fairy_shrimp,Redeared_slider,Chironomids,Leuciscidae,Orange_spotted_sunfish,Green_sunfish,Red_shiner ,Catostomidae,Fringed_diving_beetle_larvae,Fragile_forktailm-ayfly_larvae,Burrowing_mayfly_larvae,Bellastomadid_nymph,Dragonfly_larvae,Fathead_minnow,Mayfly_larvae,Cyprinidae,Damselfly_larvae,Catfish,Virile_crayfish,Longear_sunfish,Water_tiger_larvae,Threadfin_shad,River_carpsucker
Aspinwall Bend,1,Natural_Wetland_-_Riverward,5/21/2025,9:27,34,AF,,"Mud, open water, smart weed",None,,,,,,,,,,0,,Yes,,1,-95.636402,40.319656,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspinwall Bend,1,Natural_Wetland_-_Riverward,5/21/2025,10:20,46,AF,,"mud, open water, smart weed",None,,,,,,,,,,0,,Yes,,3,-95.63622,40.319723,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspinwall Bend,1,Natural_Wetland_-_Riverward,5/21/2025,11:16,38,AF,,"mud, open water, smartweed",None,,,,,,,,,,0,,Yes,Fish and turtles present in the water. Wetland bisected by property line. Shrimp only caught in the littoral zone.,5,-95.636246,40.319821,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspinwall Bend,1,Natural_Wetland_-_Riverward,5/21/2025,9:27,34,RYO,,"mud, open water, smartweed",None,,,,,,,,,,0,,Yes,,2,-95.636402,40.319656,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspinwall Bend,1,Natural_Wetland_-_Riverward,5/21/2025,10:30,35,RYO,,"mud, open water, smartweed",None,,,,,,,,,,0,,Yes,,4,-95.635906,40.319928,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspinwall Bend,1,Natural_Wetland_-_Riverward,5/21/2025,11:16,32,RYO,,"mud, open water, smartweed",None,,,,,,,,,,0,,Yes,,6,-95.636457,40.319745,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,8:08,19,"RYO, SR",,"mud, open water",None,,,,,,,,,,0,,No,,1,-95.501541,40.26697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,8:15,20,AF,,"Willow, mud, open water",None,,,,,,,,,,0,,No,,2,-95.501544,40.266906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,8:32,34,"RYO, SR",,"Willows, mud",Toad_(American_Great_Plains_and,,,4,,,,,,,4,,Yes,,3,-95.501636,40.266563,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,8:41,39,AF,,"Willow, mud",None,,,,,,,,,,0,,Yes,IMG 6522,4,-95.501125,40.26646,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,9:22,20,"RYO, SR",,"Mud, open water",None,,,,,,,,,,0,,Yes,IMG 6543,5,-95.500725,40.266397,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,9:27,29,AF,,"Willow, mud",Toad_(American_Great_Plains_and,,,2,,,,,,,2,,No,IMG 6527,6,-95.500271,40.266234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,9:54,32,"RYO, SR",,"Mud, emergent veg",Toad_(American_Great_Plains_and,,,5,,,,,,,5,,Yes,,7,-95.499561,40.266259,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corning Bend,1,Borrow_Pit_-_Landward,5/22/2025,10:04,22,AF,,"Willow, mud",Toad_(American_Great_Plains_and,,,5,,,,,,,5,,No,Backwater pool to main wetland,8,-95.499204,40.266608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
